Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct,Rel_Yield,Profit_per_Ha,Revenue_per_Ha,Cost_per_Ha,Water_per_Ha,Is_Profitable,Breakeven_Yield,Yield_vs_Breakeven
SF10024,Andhra Pradesh,Nalgonda,Groundnut,Kharif,2.49,1021.3,26.1,70.1,6.7,7.31,15.6,127.8,60.1,68.1,Flood,129.7,7.95,0.9,1.08,2.69,64375,186339,173169,-13170,1713,1.57,41.6,0.7714285714285716,-5289.156626506024,69545.78313253011,74834.93975903613,687.9518072289156,False,1.1624845011112408,0.9290446444383627
SF10025,Telangana,Nashik,Wheat,Zaid,14.47,430.7,32.3,61.2,8.7,6.58,17.1,101.2,37.7,115.8,Rainfed,233.6,3.37,0.66,2.3,33.28,27284,1203928,908012,-295916,3869,8.602,64.0,1.0383747178329572,-20450.310988251553,62751.347615756735,83201.65860400829,267.38078783690395,False,3.0494670357721847,0.7542301566206617
SF10026,Gujarat,Indore,Pulses,Kharif,13.3,853.0,35.8,85.1,5.2,5.52,25.6,112.5,71.6,98.7,Sprinkler,265.5,4.23,0.67,0.3,3.99,82458,998865,329007,-669858,5584,0.715,75.8,0.3191489361702128,-50365.26315789473,24737.36842105263,75102.63157894736,419.84962406015035,False,0.9107986075207665,0.32938126773888365
SF10027,Madhya Pradesh,Krishna,Rice,Rabi,13.8,578.3,22.3,61.6,7.7,6.21,18.6,89.4,75.3,81.5,Drip,216.4,2.45,0.98,2.9,40.02,25815,744909,1033116,288207,17866,2.24,56.2,1.1788617886178863,20884.565217391304,74863.47826086957,53978.91304347826,1294.6376811594203,True,2.0909902399178097,1.3869026954970338
SF10028,Punjab,Rajkot,Rice,Rabi,10.47,93.9,27.3,45.4,7.7,6.89,27.0,115.6,64.9,123.2,Rainfed,210.2,2.42,0.74,2.45,25.65,21364,545453,547987,2534,9077,2.826,45.7,0.9959349593495935,242.0248328557784,52338.77745940783,52096.75262655205,866.953199617956,True,2.4385298926489445,1.0047036976604768
SF10029,Tamil Nadu,Rajkot,Maize,Rabi,12.94,443.1,23.0,45.7,6.3,6.32,22.9,139.3,51.3,92.5,Sprinkler,286.7,8.22,0.97,3.01,38.95,20272,1176978,789594,-387384,8230,4.733,32.1,1.056140350877193,-29936.939721792893,61019.62905718702,90956.56877897991,636.0123647604328,False,4.486807852159624,0.6708555612764214
SF10030,Tamil Nadu,Rajkot,Groundnut,Zaid,13.15,565.4,32.7,50.7,7.3,6.65,15.6,158.0,46.8,151.0,Sprinkler,147.4,5.5,0.89,1.94,25.51,49492,695563,1262541,566978,7423,3.437,30.6,1.3857142857142857,43116.19771863118,96010.72243346008,52894.5247148289,564.4866920152091,True,1.0687489839737512,1.8152064040209155
SF10031,Telangana,Nalgonda,Chilli,Rabi,11.96,284.2,24.1,62.1,7.0,6.93,31.7,188.8,47.8,101.6,Rainfed,250.8,4.06,0.66,1.51,18.06,102219,738746,1846075,1107329,4721,3.825,40.2,0.9710610932475884,92586.03678929765,154354.09698996655,61768.06020066889,394.73244147157186,True,0.6042718105310059,2.4988754624728937
SF10032,Madhya Pradesh,Krishna,Groundnut,Zaid,0.69,372.1,31.7,30.8,7.4,7.92,12.2,127.3,66.2,131.1,Drip,139.4,4.39,0.96,0.3,0.21,54155,43431,11373,-32058,259,0.811,37.4,0.2142857142857143,-46460.86956521739,16482.608695652176,62943.47826086957,375.36231884057975,False,1.162283782861593,0.258112523312841
SF10033,Madhya Pradesh,Indore,Cotton,Kharif,11.35,1066.8,30.3,76.6,6.4,7.56,35.9,104.2,49.9,106.8,Sprinkler,230.7,4.16,0.7,0.64,7.26,72112,782371,523533,-258838,9585,0.757,67.7,0.5161290322580645,-22805.110132158592,46126.25550660793,68931.36563876653,844.4933920704846,False,0.9558931334419587,0.6695309105271028
SF10034,Andhra Pradesh,Guntur,Maize,Kharif,9.8,849.0,26.4,88.0,8.2,6.03,35.5,154.3,49.1,129.8,Sprinkler,220.2,4.34,0.72,3.65,35.77,21914,782502,783864,1362,5884,6.079,52.1,1.280701754385965,138.97959183673467,79986.12244897959,79847.14285714286,600.408163265306,True,3.6436589786046754,1.0017402894816883
SF10035,Madhya Pradesh,Ludhiana,Wheat,Rabi,11.57,427.5,24.0,59.3,6.7,6.71,28.5,157.3,71.5,84.3,Sprinkler,186.8,1.13,0.86,3.83,44.31,26126,648827,1157643,508816,5400,8.206,61.4,1.7291196388261851,43977.1823681936,100055.57476231633,56078.39239412273,466.72428694900606,True,2.1464591745434713,1.7843339605164397
SF10036,Madhya Pradesh,Indore,Cotton,Zaid,7.05,179.4,34.1,55.5,8.7,7.0,14.8,94.3,66.8,101.3,Flood,231.5,7.26,0.96,0.75,5.29,66996,511293,354409,-156884,5944,0.89,29.0,0.6048387096774194,-22253.04964539007,50270.78014184397,72523.82978723405,843.1205673758866,False,1.0825098481586073,0.6928343435173178
SF10037,Tamil Nadu,Nalgonda,Cotton,Rabi,3.11,429.3,23.6,60.1,7.9,6.96,20.7,40.0,73.9,114.2,Drip,229.0,6.96,0.68,1.71,5.32,52396,243775,278747,34972,1780,2.989,33.0,1.379032258064516,11245.016077170418,89629.26045016077,78384.24437299036,572.347266881029,True,1.4959967244253447,1.1430506311147572
SF10038,Andhra Pradesh,Ludhiana,Cotton,Kharif,2.79,820.1,26.3,74.6,7.5,7.62,31.9,123.2,91.7,80.6,Flood,153.2,5.91,0.68,0.7,1.95,66405,175756,129490,-46266,3058,0.638,52.5,0.564516129032258,-16582.795698924732,46412.18637992832,62994.98207885305,1096.057347670251,False,0.9486481752707333,0.7378921061016409
SF10039,Telangana,Warangal,Wheat,Kharif,4.69,657.7,27.1,64.9,6.2,7.85,31.9,87.6,87.5,81.5,Drip,218.9,4.78,0.92,0.98,4.6,25408,293568,116877,-176691,2392,1.923,50.0,0.44243792325056436,-37673.987206823025,24920.469083155647,62594.456289978676,510.0213219616204,False,2.46357274441037,0.39779625027250926
SF10040,Tamil Nadu,Ludhiana,Maize,Kharif,6.12,936.0,31.8,56.3,7.1,7.03,30.3,91.9,48.0,103.6,Rainfed,46.3,8.07,0.79,3.24,19.83,24731,321710,490416,168706,2144,9.249,46.7,1.1368421052631579,27566.339869281044,80133.33333333333,52566.993464052284,350.3267973856209,True,2.1255506637035415,1.524310878741724
SF10041,Karnataka,Indore,Pulses,Kharif,12.31,768.4,29.0,67.0,6.1,8.22,26.7,69.5,49.1,98.6,Flood,214.2,7.11,0.73,0.3,3.69,95238,791517,351428,-440089,6153,0.6,54.7,0.3191489361702128,-35750.528025995125,28548.17221770918,64298.700243704305,499.83753046303815,False,0.6751370276959229,0.44435423875924335
SF10042,Maharashtra,Erode,Wheat,Zaid,13.35,156.6,30.8,51.7,9.9,6.34,19.5,135.7,75.0,115.5,Sprinkler,158.2,5.76,0.77,1.69,22.56,22869,897488,515925,-381563,7377,3.058,17.1,0.7629796839729119,-28581.498127340823,38646.06741573034,67227.56554307116,552.5842696629213,False,2.9396810329735086,0.5748923032954201
SF10043,Karnataka,Krishna,Rice,Kharif,9.47,639.2,22.6,74.9,4.9,5.73,43.6,66.1,54.9,125.5,Rainfed,313.4,4.78,0.94,0.9,8.52,25346,744619,215948,-528671,7926,1.075,52.0,0.36585365853658536,-55825.87117212249,22803.379091869057,78629.25026399155,836.9588173178457,False,3.1022350770926987,0.2901134110195953
SF10044,Tamil Nadu,Erode,Wheat,Rabi,7.56,460.1,24.0,58.7,6.7,6.6,22.9,96.2,42.9,139.3,Sprinkler,241.9,5.34,0.69,2.6,19.66,24887,550176,489278,-60898,4545,4.326,44.7,1.1738148984198646,-8055.291005291006,64719.31216931217,72774.60317460318,601.1904761904763,False,2.9242015178447858,0.8891316087942767
SF10045,Madhya Pradesh,Krishna,Wheat,Kharif,14.23,853.7,28.2,77.6,6.9,7.04,31.8,109.5,61.7,148.7,Drip,163.7,4.26,0.85,3.35,47.67,23547,980255,1122485,142230,5966,7.99,55.4,1.5124153498871333,9995.080815179199,78881.58819395643,68886.50737877723,419.25509486999294,True,2.9254897600024306,1.1451074092965605
SF10046,Telangana,Erode,Wheat,Kharif,2.14,485.7,28.0,80.1,7.2,8.08,34.7,111.0,56.6,74.9,Drip,146.2,4.25,0.95,0.32,0.68,25224,116463,17152,-99311,791,0.86,49.4,0.14446952595936796,-46407.00934579439,8014.953271028037,54421.96261682243,369.626168224299,False,2.1575468845869974,0.14831659153550916
SF10047,Andhra Pradesh,Nalgonda,Groundnut,Kharif,5.6,728.5,27.0,76.7,6.9,6.36,27.4,92.2,72.7,80.9,Sprinkler,194.0,4.7,0.71,2.63,14.73,53568,337133,789057,451924,3052,4.826,63.2,1.8785714285714286,80700.71428571429,140903.0357142857,60202.321428571435,545.0,True,1.1238485929766173,2.340172881325767
SF10048,Punjab,Ludhiana,Sugarcane,Zaid,7.68,90.0,31.9,52.7,9.8,6.51,18.3,164.0,59.6,54.9,Sprinkler,136.9,8.04,0.76,36.69,281.78,3682,480826,1037514,556688,13263,21.246,30.0,0.7638975640224859,72485.41666666667,135092.96875,62607.552083333336,1726.953125,True,17.003680630997646,2.1577681206923085
SF10049,Andhra Pradesh,Erode,Chilli,Zaid,5.52,91.3,34.1,63.0,7.2,5.55,20.9,124.8,75.2,130.8,Rainfed,207.3,4.96,0.87,0.3,1.66,102697,376564,170477,-206087,1257,1.321,43.9,0.19292604501607713,-37334.60144927537,30883.514492753624,68218.11594202899,227.71739130434784,False,0.6642659078846411,0.45162636895720243
SF10050,Madhya Pradesh,Erode,Rice,Rabi,8.8,792.2,21.5,51.4,8.0,7.8,21.8,104.1,61.9,82.3,Flood,223.7,6.7,0.7,0.76,6.69,19703,741670,131813,-609857,15881,0.421,53.6,0.3089430894308943,-69301.93181818181,14978.749999999998,84280.68181818181,1804.6590909090908,False,4.277555794456774,0.17767155743120258
SF10051,Telangana,Warangal,Rice,Zaid,9.82,227.2,29.5,63.5,7.6,6.81,17.8,122.5,54.9,97.0,Flood,162.7,0.62,0.78,2.87,28.18,21316,534995,600685,65690,16682,1.689,49.4,1.1666666666666667,6689.409368635438,61169.55193482688,54480.14256619145,1698.7780040733196,True,2.5558332973443165,1.1229214373966112
SF10052,Andhra Pradesh,Rajkot,Pulses,Rabi,8.61,80.0,24.8,60.9,7.5,5.43,28.0,107.1,46.4,137.6,Sprinkler,178.1,4.92,1.0,0.3,2.58,71065,492155,183348,-308807,3106,0.831,40.2,0.3191489361702128,-35866.08594657375,21294.773519163766,57160.85946573752,360.7433217189315,False,0.8043461544464577,0.37297374810781153
SF10053,Gujarat,Indore,Rice,Zaid,11.52,206.2,34.3,50.3,10.0,7.01,32.7,106.7,50.4,98.1,Flood,112.7,6.15,0.87,1.69,19.47,19275,674473,375284,-299189,20211,0.963,18.9,0.6869918699186992,-25971.267361111113,32576.736111111113,58548.003472222226,1754.4270833333335,False,3.03750990776769,0.5563767860240514
SF10054,Telangana,Nalgonda,Maize,Kharif,3.18,591.2,28.1,63.9,6.8,5.66,30.8,126.9,27.6,137.7,Flood,289.5,5.4,0.77,1.11,3.53,17359,254223,61277,-192946,2327,1.517,39.8,0.38947368421052636,-60674.842767295595,19269.49685534591,79944.3396226415,731.7610062893082,False,4.605353973307305,0.2410238184585974
SF10055,Andhra Pradesh,Raichur,Rice,Rabi,7.08,460.0,22.8,57.4,8.5,7.14,19.2,125.2,30.8,126.7,Flood,115.3,6.38,0.94,2.92,20.67,24229,591425,500813,-90612,16012,1.291,29.2,1.1869918699186992,-12798.305084745763,70736.29943502825,83534.60451977402,2261.5819209039546,False,3.447711606742912,0.8469385879866425
SF10056,Karnataka,Warangal,Groundnut,Rabi,11.7,167.3,26.2,62.4,6.8,6.3,21.8,122.8,27.7,135.0,Drip,240.5,5.39,0.94,1.66,19.42,50837,780159,987255,207096,4665,4.163,39.4,1.1857142857142857,17700.51282051282,84380.76923076923,66680.25641025642,398.71794871794873,True,1.311648138368834,1.2655833157087206
SF10057,Telangana,Nashik,Pulses,Rabi,6.91,489.4,24.0,67.2,9.1,6.46,31.0,121.2,55.7,107.5,Drip,212.0,6.15,0.87,1.49,10.3,70845,462116,729704,267588,2165,4.758,34.5,1.5851063829787235,38724.74674384949,105601.15774240231,66876.41099855282,313.3140376266281,True,0.9439820876357233,1.578419780964087
SF10058,Telangana,Nashik,Maize,Zaid,7.06,336.9,29.4,62.0,9.0,7.53,11.3,152.4,63.1,106.1,Rainfed,116.8,4.01,0.86,1.16,8.19,22633,430059,185364,-244695,2031,4.032,33.3,0.40701754385964906,-34659.34844192635,26255.524079320116,60914.87252124646,287.67705382436264,False,2.691418394434961,0.4309995065793297
SF10059,Madhya Pradesh,Raichur,Maize,Zaid,6.62,278.1,31.1,59.3,8.3,7.55,19.1,129.3,82.0,47.0,Flood,168.0,2.1,0.89,1.34,8.87,18651,455124,165434,-289690,5550,1.598,47.6,0.47017543859649125,-43759.818731117826,24990.030211480364,68749.84894259818,838.3685800604229,False,3.68612133089905,0.3635257441927915
SF10060,Gujarat,Erode,Groundnut,Kharif,10.0,664.7,25.1,72.3,6.8,6.49,32.8,118.6,31.3,69.5,Flood,139.1,5.53,0.76,2.07,20.7,59223,619756,1225916,606160,7146,2.897,42.2,1.4785714285714286,60616.0,122591.6,61975.6,714.6,True,1.0464785640713912,1.9780624955627697
SF10061,Karnataka,Guntur,Groundnut,Kharif,14.38,1002.0,27.9,63.0,5.5,6.62,30.2,127.4,61.8,86.2,Rainfed,194.4,5.01,0.97,1.73,24.88,53834,972766,1339390,366624,4408,5.644,66.6,1.2357142857142858,25495.41029207232,93142.55910987483,67647.1488178025,306.53685674547984,True,1.2565878221533324,1.3767442032307873
SF10062,Karnataka,Ludhiana,Cotton,Rabi,14.23,404.4,19.4,55.8,7.9,6.99,22.6,182.0,52.9,80.5,Drip,127.2,1.21,0.9,1.8,25.61,70385,815920,1802560,986640,9798,2.614,50.7,1.4516129032258065,69335.20730850316,126673.22557976107,57338.018271257904,688.5453267744202,True,0.8146340594055254,2.2095810741249142
SF10063,Andhra Pradesh,Warangal,Cotton,Zaid,5.46,148.5,31.2,59.9,7.7,6.31,21.5,81.9,56.0,124.3,Flood,157.7,3.34,0.7,0.91,4.97,66056,309945,328298,18353,4831,1.029,31.8,0.7338709677419355,3361.355311355311,60127.83882783883,56766.48351648352,884.7985347985348,True,0.8593690734601477,1.0589163935536952
SF10064,Tamil Nadu,Warangal,Rice,Kharif,3.95,1028.8,24.2,69.2,6.2,5.95,29.4,105.4,48.3,123.3,Flood,136.3,4.4,0.92,1.62,6.4,23591,258728,150982,-107746,8230,0.778,46.8,0.6585365853658537,-27277.468354430377,38223.29113924051,65500.759493670885,2083.5443037974683,False,2.776514751119956,0.5834652956000124
SF10065,Telangana,Indore,Pulses,Kharif,14.43,1012.7,30.2,65.2,7.9,6.71,23.2,102.9,66.6,93.5,Rainfed,276.7,5.63,0.97,0.99,14.29,86381,980375,1234384,254009,2290,6.24,53.6,1.0531914893617023,17602.8413028413,85542.89674289674,67940.05544005544,158.6971586971587,True,0.7865161949972267,1.2587153402524545
SF10066,Maharashtra,Rajkot,Groundnut,Rabi,7.49,234.8,20.5,49.1,8.4,6.55,30.3,84.7,72.9,72.2,Sprinkler,107.5,3.99,0.82,1.42,10.64,60410,506733,642762,136029,3460,3.075,59.9,1.0142857142857142,18161.415220293726,85816.02136181576,67654.60614152203,461.9492656875834,True,1.119923955330608,1.2679432324320696
SF10067,Tamil Nadu,Rajkot,Wheat,Rabi,7.25,410.0,23.4,61.1,9.4,7.08,28.3,199.3,60.4,66.8,Flood,198.1,7.33,0.8,2.66,19.28,20402,542011,393351,-148660,4731,4.075,41.4,1.2009029345372462,-20504.827586206895,54255.31034482759,74760.13793103448,652.551724137931,False,3.66435339334548,0.7259125183806233
SF10068,Maharashtra,Ludhiana,Pulses,Rabi,5.28,498.8,26.9,51.3,7.5,6.21,29.0,152.6,48.9,95.2,Drip,114.7,5.33,0.69,1.37,7.23,71305,292198,515535,223337,1540,4.695,44.1,1.4574468085106385,42298.67424242424,97639.20454545454,55340.530303030304,291.66666666666663,True,0.7761100947062661,1.7652134785316806
SF10069,Andhra Pradesh,Raichur,Rice,Kharif,12.69,851.6,27.7,81.1,6.0,7.6,31.2,124.5,74.6,136.5,Flood,165.3,7.52,0.8,1.59,20.18,20502,865223,413730,-451493,22011,0.917,48.8,0.6463414634146342,-35578.64460204886,32602.836879432627,68181.48148148149,1734.5153664302602,False,3.325601477001341,0.4781090010321038
SF10070,Karnataka,Warangal,Maize,Kharif,2.82,960.7,27.6,68.2,8.9,7.29,35.7,111.9,65.9,104.9,Flood,139.8,2.74,0.66,2.73,7.7,23906,171757,184076,12319,2056,3.745,59.3,0.9578947368421052,4368.439716312057,65275.17730496454,60906.73758865248,729.0780141843971,True,2.5477594574020115,1.0715297286282364
SF10071,Maharashtra,Krishna,Cotton,Rabi,14.72,338.5,21.2,68.5,7.7,6.06,25.7,132.5,15.0,148.5,Drip,145.7,6.76,0.84,1.0,14.72,61717,960387,908474,-51913,9888,1.489,35.8,0.8064516129032259,-3526.698369565217,61716.98369565217,65243.68206521739,671.7391304347826,False,1.0571427980170356,0.9459459988525459
SF10072,Madhya Pradesh,Krishna,Maize,Rabi,1.48,342.0,19.3,62.5,8.2,6.73,31.4,112.7,75.1,112.8,Sprinkler,149.1,6.66,0.7,3.61,5.34,19548,105743,104386,-1357,916,5.83,29.3,1.2666666666666666,-916.8918918918919,70531.08108108108,71447.97297297297,618.918918918919,False,3.6550016867696424,0.9876876426808394
SF10073,Tamil Nadu,Krishna,Cotton,Kharif,7.37,765.5,26.4,89.0,6.4,7.28,30.3,119.2,63.4,140.7,Sprinkler,110.1,7.05,0.73,1.38,10.17,71337,478922,725497,246575,6169,1.649,55.2,1.1129032258064515,33456.58073270014,98439.21302578019,64982.63229308005,837.0420624151967,True,0.9109246575140537,1.5149441708670723
SF10074,Gujarat,Raichur,Maize,Rabi,1.41,80.0,26.2,64.6,7.6,6.76,30.1,85.8,38.5,128.9,Drip,121.9,6.85,0.95,3.26,4.6,19255,84476,88573,4097,777,5.92,26.7,1.1438596491228068,2905.6737588652486,62817.73049645391,59912.05673758865,551.0638297872341,True,3.111506452224807,1.0477240044509681
